city,state_id,state_name,county_name,lat,lng,zips,id
Lewis,KS,Kansas,Edwards,37.9370,-99.2547,67552,1840008685
Cuba,NM,New Mexico,Sandoval,36.0146,-106.9680,87013,1840022682
Plum Springs,KY,Kentucky,Warren,37.0210,-86.3777,42101,1840014390
Rosholt,WI,Wisconsin,Portage,44.6301,-89.3053,54473,1840002329
Hostetter,PA,Pennsylvania,Westmoreland,40.2640,-79.3977,15638 15650,1840026430
Kismet,KS,Kansas,Seward,37.2046,-100.7018,67859,1840008761
Crawfordsville,AR,Arkansas,Crittenden,35.2267,-90.3241,72327,1840016383
Sigel,IL,Illinois,Shelby,39.2257,-88.4945,62462,1840010614
Racine,MN,Minnesota,Mower,43.7755,-92.4810,55967,1840009005
Marion Center,PA,Pennsylvania,Indiana,40.7705,-79.0473,15759,1840002786
Sugar Grove,PA,Pennsylvania,Warren,41.9837,-79.3395,16350,1840003333
Sopchoppy,FL,Florida,Wakulla,30.0598,-84.4854,32358,1840015934
Panama,NY,New York,Chautauqua,42.0747,-79.4849,14767,1840004569
Kulm,ND,North Dakota,LaMoure,46.3019,-98.9468,58456,1840000218
Byrnedale,PA,Pennsylvania,Elk,41.2915,-78.5023,15827 15868,1840026301
Cumberland City,TN,Tennessee,Stewart,36.3828,-87.6403,37050,1840016012
Pownal Center,VT,Vermont,Bennington,42.7977,-73.2214,05261,1840115243
Thorne Bay,AK,Alaska,Prince of Wales-Hyder,55.6652,-132.5337,99919,1840023517
Drakes Branch,VA,Virginia,Charlotte,36.9933,-78.6009,23937,1840006464
Thompsonville,IL,Illinois,Franklin,37.9144,-88.7622,62890,1840012957
McLeod,TX,Texas,Cass,32.9455,-94.0776,75565 75555,1840036284
Badger,IA,Iowa,Webster,42.6141,-94.1446,50516,1840006939
Proberta,CA,California,Tehama,40.0761,-122.1776,96035 96080 96078,1840026516
Flintville,TN,Tennessee,Lincoln,35.0602,-86.4164,37335,1840025830
Hiltonia,GA,Georgia,Screven,32.8833,-81.6613,30467,1840016921
Leaf River,IL,Illinois,Ogle,42.1233,-89.4040,61047,1840011232
South Wayne,WI,Wisconsin,Lafayette,42.5676,-89.8763,53587,1840002498
Kosse,TX,Texas,Limestone,31.3070,-96.6292,76653,1840022144
Emery,SD,South Dakota,Hanson,43.6020,-97.6195,57332,1840002644
Lake City,CO,Colorado,Hinsdale,38.0303,-107.3106,81235,1840021528
